section,metric,value
source_status,census_profile,deferred_default
table,total_rows,1525600
table,total_columns,60
table,new_columns_count,47
table,new_columns,"BUILDING_AGE_BIN,HAS_BIG_IMPROVEMENT,IMPROVEMENT_RECENCY_BIN,LEGAL_ZONING_COMBO,POSTAL_FSA,REPORT_YEAR_CENTERED,REPORT_YEAR_NUM,cmhc_rental_supply_existing_converted,cmhc_rental_supply_existing_converted_lag1,cmhc_rental_supply_existing_converted_yoy_change,cmhc_rental_supply_net_change_total,cmhc_rental_supply_net_change_total_lag1,cmhc_rental_supply_net_change_total_yoy_change,cmhc_rental_supply_new_added,cmhc_rental_supply_new_added_lag1,cmhc_rental_supply_new_added_yoy_change,fsa_prev_2yr_median_land_value,fsa_prev_3yr_growth_trend,fsa_prev_3yr_rolling_median_land_value,fsa_prev_year_mean_land_value,fsa_prev_year_median_land_value,fsa_prev_year_property_count,ircc_pr_bc_total,ircc_pr_bc_total_lag1,ircc_pr_bc_total_yoy_change,ircc_pr_vancouver_cma,ircc_pr_vancouver_cma_lag1,ircc_pr_vancouver_cma_yoy_change,mortgage_rate_5yr_avg,mortgage_rate_5yr_avg_lag1,mortgage_rate_5yr_avg_yoy_change,mortgage_rate_5yr_end_of_year,mortgage_rate_5yr_end_of_year_lag1,mortgage_rate_5yr_end_of_year_yoy_change,neigh_prev_2yr_mean_land_value,neigh_prev_2yr_median_land_value,neigh_prev_3yr_growth_trend,neigh_prev_3yr_rolling_mean_land_value,neigh_prev_3yr_rolling_median_land_value,neigh_prev_3yr_value_std,neigh_prev_year_growth_rate,neigh_prev_year_mean_land_value,neigh_prev_year_median_land_value,neigh_prev_year_property_count,study_permits_bc_total,study_permits_bc_total_lag1,study_permits_bc_total_yoy_change"
table,year_coverage,2020-2026
table,sample_years_present,"2020,2021,2022,2023,2024,2025,2026"
table,group_feature_families,"neigh_history,fsa_history"
missing_rate,BUILDING_AGE_BIN,0.0
missing_rate,HAS_BIG_IMPROVEMENT,0.0
missing_rate,IMPROVEMENT_RECENCY_BIN,0.0
missing_rate,LEGAL_ZONING_COMBO,0.0
missing_rate,POSTAL_FSA,0.0
missing_rate,REPORT_YEAR_CENTERED,0.0
missing_rate,REPORT_YEAR_NUM,0.0
missing_rate,cmhc_rental_supply_existing_converted,0.14628736234923964
missing_rate,cmhc_rental_supply_existing_converted_lag1,0.14628736234923964
missing_rate,cmhc_rental_supply_existing_converted_yoy_change,0.14628736234923964
missing_rate,cmhc_rental_supply_net_change_total,0.14628736234923964
missing_rate,cmhc_rental_supply_net_change_total_lag1,0.14628736234923964
missing_rate,cmhc_rental_supply_net_change_total_yoy_change,0.14628736234923964
missing_rate,cmhc_rental_supply_new_added,0.14628736234923964
missing_rate,cmhc_rental_supply_new_added_lag1,0.14628736234923964
missing_rate,cmhc_rental_supply_new_added_yoy_change,0.14628736234923964
missing_rate,fsa_prev_2yr_median_land_value,0.27927110644992137
missing_rate,fsa_prev_3yr_growth_trend,0.4213260356581017
missing_rate,fsa_prev_3yr_rolling_median_land_value,0.27927110644992137
missing_rate,fsa_prev_year_mean_land_value,0.13925406397482956
missing_rate,fsa_prev_year_median_land_value,0.13925406397482956
missing_rate,fsa_prev_year_property_count,0.13925406397482956
missing_rate,ircc_pr_bc_total,0.14628736234923964
missing_rate,ircc_pr_bc_total_lag1,0.14628736234923964
missing_rate,ircc_pr_bc_total_yoy_change,0.14628736234923964
missing_rate,ircc_pr_vancouver_cma,0.14628736234923964
missing_rate,ircc_pr_vancouver_cma_lag1,0.14628736234923964
missing_rate,ircc_pr_vancouver_cma_yoy_change,0.14628736234923964
missing_rate,mortgage_rate_5yr_avg,0.0
missing_rate,mortgage_rate_5yr_avg_lag1,0.0
missing_rate,mortgage_rate_5yr_avg_yoy_change,0.0
missing_rate,mortgage_rate_5yr_end_of_year,0.0
missing_rate,mortgage_rate_5yr_end_of_year_lag1,0.0
missing_rate,mortgage_rate_5yr_end_of_year_yoy_change,0.0
missing_rate,neigh_prev_2yr_mean_land_value,0.2792704509701101
missing_rate,neigh_prev_2yr_median_land_value,0.2792704509701101
missing_rate,neigh_prev_3yr_growth_trend,0.4213253801782905
missing_rate,neigh_prev_3yr_rolling_mean_land_value,0.2792704509701101
missing_rate,neigh_prev_3yr_rolling_median_land_value,0.2792704509701101
missing_rate,neigh_prev_3yr_value_std,0.2792704509701101
missing_rate,neigh_prev_year_growth_rate,0.14285592553749343
missing_rate,neigh_prev_year_mean_land_value,0.13925406397482956
missing_rate,neigh_prev_year_median_land_value,0.13925406397482956
missing_rate,neigh_prev_year_property_count,0.13925406397482956
missing_rate,study_permits_bc_total,0.14628736234923964
missing_rate,study_permits_bc_total_lag1,0.14628736234923964
missing_rate,study_permits_bc_total_yoy_change,0.14628736234923964
